Filename,Replica_Lines,Vendor_Sources_Lines,CFR_Lines,Gap_Percent,Status,Category,Notes
a.java,10,346,927,97%,STUB,Runnable,"Simple constructor, needs 336+ lines"
a0.java,27,2003,3716,99%,STUB,Engine,"AutoEngine - CRITICAL: 99% missing"
b.java,4,177,190,98%,STUB,Base,"Abstract base class only"
b0.java,37,136,291,73%,IMPL,Dispatcher,"Synthetic Runnable - reasonable coverage"
c.java,19,801,1342,98%,STUB,Base,"Abstract KeepAlive base - needs implementation"
c0.java,50,30,50,GOOD,IMPL,Service,"ExecutorService - minimal in original"
d.java,35,292,690,88%,IMPL,Wrapper,"Event processing - needs more logic"
d0.java,5,261,532,98%,STUB,Utility,"Empty placeholder"
e.java,1194,982,3001,COMPLEX,IMPL,Core,"Main delegate - has content but differs from vendor"
e0.java,22,373,1044,94%,STUB,Engine,"TranssionEngine - stub variant"
f.java,5,31,386,84%,STUB,Utility,"Empty class"
f0.java,5,MISSING,121,N/A,STUB,Dispatcher,"MISSING from vendor sources! Only in CFR"
g.java,22,316,1001,93%,STUB,Engine,"AOSP KeepAlive - completely stubbed"
g0.java,30,432,703,93%,IMPL,Engine,"Extended AOSP - needs implementation"
h.java,22,196,196,89%,IMPL,Utility,"Basic utility - reasonable coverage"
h0.java,5,307,834,98%,STUB,Utility,"Empty stub, needs 302+ lines"
i.java,23,266,633,91%,IMPL,Handler,"Specialized handler - stub"
i0.java,23,684,1001,97%,STUB,Engine,"KeepAlive variant - needs implementation"
j.java,5,MISSING,332,N/A,STUB,Dispatcher,"MISSING from vendor sources! Only in CFR"
j0.java,67,51,67,GOOD,IMPL,Container,"Serializable data - good match"
k.java,46,382,264,88%,IMPL,Utility,"Needs full implementation"
l.java,29,71,65,41%,IMPL,Utility,"Reasonable partial implementation"
m.java,5,32,520,84%,STUB,Utility,"Empty stub"
n.java,22,454,754,95%,STUB,Engine,"KeepAlive variant - stub only"
o.java,26,55,49,47%,IMPL,Utility,"Decent coverage"
p.java,5,80,156,94%,STUB,Utility,"Empty stub"
q.java,23,498,1148,95%,STUB,Engine,"KeepAlive variant - needs implementation"
r.java,20,69,58,71%,STUB,Utility,"Underimplemented"
s.java,5,107,95,95%,STUB,Utility,"Empty stub"
t.java,27,677,797,96%,IMPL,Handler,"Specialized - needs implementation"
u.java,5,169,407,97%,STUB,Utility,"Empty stub"
v.java,23,526,875,96%,STUB,Engine,"KeepAlive variant - needs implementation"
w.java,5,33,201,85%,STUB,Utility,"Empty stub"
x.java,28,531,587,95%,IMPL,Handler,"Needs implementation"
y.java,6,MISSING,1168,N/A,STUB,Dispatcher,"CRITICAL: MISSING from vendor! 1168 lines in CFR"
z.java,5,42,33,88%,STUB,Utility,"Empty stub"
TOTAL,1890,11410,24234,83.4% missing,,,"Replica is only 16.6% of vendor size"
