Rank,FileName,RelativePath,TotalTests,EmptyAsserts,NotNullAsserts,TotalEmpty,EmptyRatio%,Rating
1,"IuzxujjtqevTest.kt","activity/IuzxujjtqevTest.kt",107,73,8,81,75.7%,A
2,"Phase10BatchCDTest.kt","Phase10BatchCDTest.kt",27,0,14,14,51.9%,A
3,"Phase10BatchABTest.kt","Phase10BatchABTest.kt",37,0,19,19,51.4%,A
4,"SecurityCheckerTest.kt","security/SecurityCheckerTest.kt",11,0,4,4,36.4%,B
5,"Phase3PendingBatch12Test.kt","service/Phase3PendingBatch12Test.kt",47,0,15,15,31.9%,B
6,"MiddleManagersTest.kt","service/modules/MiddleManagersTest.kt",23,0,6,6,26.1%,B
7,"AppNotificationListenerTest.kt","service/AppNotificationListenerTest.kt",4,0,1,1,25.0%,B
8,"MediaDisplayServiceTest.kt","service/MediaDisplayServiceTest.kt",4,0,1,1,25.0%,B
9,"NodeTraverserTest.kt","service/modules/base/NodeTraverserTest.kt",12,0,3,3,25.0%,B
10,"UiObjectTest.kt","service/modules/cipher/UiObjectTest.kt",38,0,9,9,23.7%,C
11,"P000Tier3Test.kt","p000/P000Tier3Test.kt",48,0,11,11,22.9%,C
12,"AccessibilityEventRouterTest.kt","service/modules/AccessibilityEventRouterTest.kt",65,0,13,13,20.0%,C
13,"LocalHttpServerTest.kt","service/modules/LocalHttpServerTest.kt",25,0,5,5,20.0%,C
14,"DataSyncClientTest.kt","network/DataSyncClientTest.kt",35,0,6,6,17.1%,C
15,"Phase3PendingBatch3Test.kt","service/Phase3PendingBatch3Test.kt",35,0,6,6,17.1%,C
16,"NetworkManagerTest.kt","service/modules/NetworkManagerTest.kt",124,0,21,21,16.9%,C
17,"ScreenCaptureManagerTest.kt","manager/ScreenCaptureManagerTest.kt",6,0,1,1,16.7%,C
18,"CoreManagersTest.kt","service/modules/CoreManagersTest.kt",32,0,5,5,15.6%,C
19,"CipherToolsTest.kt","service/modules/cipher/CipherToolsTest.kt",21,0,3,3,14.3%,C
20,"SystemOptimizeManagerTest.kt","service/modules/setup/SystemOptimizeManagerTest.kt",159,0,22,22,13.8%,C
