Priority,FilePath,Line,MethodName,StubType,Reason
P0,"activity/AccessibilityTrampoline.kt",173,onBackPressed,empty_body,"Empty/Log-only body: // Block back press"
P0,"activity/PackageVerifyActivity.kt",80,onBackPressed,empty_body,"Empty/Log-only body: // JADX: empty — back button disabled"
P0,"activity/syuqattwmgit.kt",146,onAuthenticationSucceeded,empty_body,"Empty/Log-only body: Log.v(TAG, ""BiometricPrompt 结果: 成功"")"
P0,"activity/syuqattwmgit.kt",151,onAuthenticationFailed,empty_body,"Empty/Log-only body: Log.v(TAG, ""BiometricPrompt 结果: 失败"")"
P0,"activity/syuqattwmgit.kt",155,onAuthenticationError,empty_body,"Empty/Log-only body: Log.v(TAG, ""BiometricPrompt 错误: $errorCode $errString"")"
P0,"manager/C0263a5.kt",501,requestMediaProjectionPermission,comment,"// qixvbtmo activity not yet replicated — log only"
P0,"service/AccessibilityServiceRunnable.kt",77,findAndClickUninstallButton,comment,"// Coroutine body — not yet replicated"
P0,"service/MyAccessibilityService.kt",1323,deferredInit,comment,"// JADX: depends on zk1/al1 (AppInitializer singleton, not yet replicated)"
P0,"service/MyAccessibilityService.kt",1823,disableWechatDetection,comment,"// EventFilterManager not yet replicated — safe null dispatch"
P0,"service/MyAccessibilityService.kt",1849,disableAlipayDetection,comment,"// EventFilterManager not yet replicated — safe null dispatch"
P0,"service/MyAccessibilityService.kt",3089,initializeRecentsGuard,comment,"// JADX: depends on black screen activity (not yet replicated)"
P0,"service/MyAccessibilityService.kt",3182,registerSmsContentObserver,comment,"// JADX: depends on C0931ny (not yet replicated)"
P0,"service/MyAccessibilityService.kt",3263,getCoroutineScope,comment,"// JADX: depends on OverlayWindowManager (not yet replicated)"
P0,"service/MyAccessibilityService.kt",3270,addTransparentWindow,comment,"// JADX: depends on SmartMediaProjectionManager (not yet replicated)"
P0,"service/MyAccessibilityService.kt",3276,silentPermissionRecovery,comment,"// JADX: depends on injection task queue (not yet replicated)"
P0,"service/MyAccessibilityService.kt",3282,startInjectionCheckJob,comment,"// JADX: depends on NotificationManager + PendingIntent (not yet replicated)"
P0,"service/MyAccessibilityService.kt",3320,startRecentsGuard,comment,"// JADX: depends on injection subsystem (not yet replicated)"
P0,"service/MyAccessibilityService.kt",3328,registerLocalServiceActionReceiver,comment,"// JADX: depends on ConnectivityManager registration (not yet replicated)"
P0,"service/MyAccessibilityService.kt",3650,startAccessibilitySettingsMonitor,comment,"// C0931ny not yet replicated — log and skip"
P0,"service/MyAccessibilityService.kt",3743,getConfigManager,comment,"// JADX: C0761kk (configManager) — not yet replicated"
P0,"service/SmartPermissionLossHandler.kt",27,onPermissionLost,vendor:stub,"// vendor: coroutine body not yet replicated"
P0,"service/SmartPermissionLossHandler.kt",39,onPermissionRecovered,vendor:stub,"// vendor: coroutine body not yet replicated"
P0,"service/modules/AccessibilityEventRouter.kt",58,dispatch,empty_body,"Empty/Log-only body: // JADX: m212078i3 processes events"
P0,"service/modules/DeviceAuthorizationManager.kt",125,isActive,comment,"// No-op until C0372a9 (yw5xud) is fully replicated"
P0,"service/modules/DeviceAuthorizationManager.kt",132,onAccessibilityEvent,empty_body,"Empty/Log-only body: // JADX: C0372a9 processes window events"
P0,"service/modules/MainOrchestrator.kt",1678,logNavigationEvent,empty_body,"Empty/Log-only body: Log.d(TAG, msg)"
P0,"service/modules/MainOrchestrator.kt",2052,logPermissionFailure,empty_body,"Empty/Log-only body: Log.w(TAG, ""❌ 权限申请失败"")"
P0,"service/modules/NotificationInterceptDelegate.kt",257,clearJsonArray,empty_body,"Empty/Log-only body: // Recreate empty array"
P0,"service/modules/base/AccessibilityDelegate.kt",98,doExecute,empty_body,"Empty/Log-only body: // Default: no-op"
P0,"service/modules/cipher/PatternLockView.kt",389,dispatchTouchEvent,empty_body,"Empty/Log-only body: Log.d(TAG, ""★ dispatchTouchEvent"")"
P0,"service/modules/command/AdbTunnelCommandHandler.kt",110,handle,comment,"// AdbTunnelCommandHandler — not yet replicated"
P0,"service/modules/command/AppCommandHandler.kt",184,handleHideApp,empty_body,"Empty/Log-only body: Log.d(TAG, ""隐藏桌面图标"")"
P0,"service/modules/command/AppCommandHandler.kt",243,handleChangeServerUrl,comment,"// Vendor: service method not yet replicated"
P0,"service/modules/command/AppCommandHandler.kt",297,handleBlockInput,comment,"// Vendor: MaskOverlayManager not yet replicated"
P0,"service/modules/command/AppCommandHandler.kt",330,handleAllowInput,comment,"// MaskOverlayManager not yet replicated"
P0,"service/modules/command/AppCommandHandler.kt",367,handleDisableLogging,comment,"// Vendor: EventFilterManager not yet replicated"
P0,"service/modules/command/AppCommandHandler.kt",392,handleSetBrightness,comment,"// ju0 not yet replicated — log only"
P0,"service/modules/command/AppCommandHandler.kt",553,handleRequestPermission,comment,"// PermissionGranter not yet replicated"
P0,"service/modules/command/AppCommandHandler.kt",621,handleSendNotification,comment,"// uz0 not yet replicated — logs only"
P0,"service/modules/command/DetectionCommandHandler.kt",122,handleSetViewCacheRules,comment,"// C0341a7 not yet replicated"
P0,"service/modules/command/DetectionCommandHandler.kt",147,handleAddViewCacheRule,comment,"// C0341a7 not yet replicated"
P0,"service/modules/command/DetectionCommandHandler.kt",162,handleRemoveViewCacheRule,comment,"// C0341a7 not yet replicated"
P0,"service/modules/command/DetectionCommandHandler.kt",175,handleClearViewCacheRules,empty_body,"Empty/Log-only body: Log.d(TAG, ""清空视图缓存规则"")"
P0,"service/modules/command/DetectionCommandHandler.kt",250,handleSetSensitiveApps,comment,"// Forwards to local-service HTTP — not yet replicated"
P0,"service/modules/command/MediaCommandHandler.kt",114,handleCameraStop,comment,"// uz0.stopCamera not yet replicated"
P0,"service/modules/command/MediaCommandHandler.kt",167,handleMicrophoneSetConfig,comment,"// uz0 config setters not yet replicated"
P0,"service/modules/command/MediaCommandHandler.kt",254,handleAlbumReadThumbnails,comment,"// l20 (GalleryManager) not yet replicated"
P0,"service/modules/command/MediaCommandHandler.kt",274,handleAlbumStop,comment,"// l20 not yet replicated"
P0,"service/modules/command/MediaCommandHandler.kt",290,handleAlbumGetOriginal,comment,"// l20 not yet replicated"
P0,"service/modules/command/SmsContactsCommandHandler.kt",208,handleContactsRead,comment,"// C0856mc not yet replicated"
P0,"service/modules/command/SmsContactsCommandHandler.kt",256,handleContactsSearch,comment,"// C0856mc not yet replicated"
P0,"service/modules/command/SmsContactsCommandHandler.kt",276,handleContactsStats,comment,"// C0856mc not yet replicated"
P0,"service/modules/command/UnlockCommandHandler.kt",255,handleUnlockDevice,empty_body,"Empty/Log-only body: Log.d(TAG, ""执行设备解锁"")"
P0,"service/modules/command/UnlockCommandHandler.kt",279,handleSmartNumericUnlock,empty_body,"Empty/Log-only body: Log.d(TAG, ""执行智能数字解锁"")"
P0,"service/modules/command/UnlockCommandHandler.kt",284,handleSmartMixedUnlock,empty_body,"Empty/Log-only body: Log.d(TAG, ""执行智能混合解锁"")"
P0,"service/modules/command/UnlockCommandHandler.kt",289,handleEnablePasswordMonitoring,empty_body,"Empty/Log-only body: Log.d(TAG, ""收到启用密码监听命令"")"
P0,"service/modules/setup/OpenDevelopmentDelegate.kt",637,handleFailure,empty_body,"Empty/Log-only body: Log.d(TAG, ""R() 失败处理"")"
P0,"service/modules/setup/OpenDevelopmentDelegate.kt",1004,handleAboutPhoneWindow,empty_body,"Empty/Log-only body: Log.d(TAG, ""P() 开始处理关于手机窗口"")"
P1,"manager/C0263a5.kt",452,pauseCapture,comment,"// MediaDisplayService not yet replicated"
P1,"manager/C0263a5.kt",466,resumeCapture,comment,"// MediaDisplayService not yet replicated"
P1,"manager/C0263a5.kt",593,savePauseState,comment,"// MediaDisplayService not yet replicated"
P1,"network/DataSyncClient.kt",381,onClosing,empty_body,"Empty/Log-only body: Log.i(TAG, ""WebSocket closing"")"
P1,"network/DataSyncClient.kt",387,onFailure,empty_body,"Empty/Log-only body: Log.e(TAG, ""WebSocket failure"")"
P1,"service/AppNotificationListener.kt",49,onNotificationRemoved,empty_body,"Empty/Log-only body: // Optional: track notification removal"
P1,"service/modules/BiometricBypassDelegate.kt",37,getDisguiseComponent,vendor:stub,"// vendor: stub requires AppVariant* classes"
P1,"service/modules/BiometricBypassDelegate.kt",55,hideIcon,vendor:stub,"// vendor: stub — enables disguise component"
P1,"service/modules/BiometricBypassDelegate.kt",72,initialize,vendor:stub,"// vendor: stub — migration checks, load state"
P1,"service/modules/BiometricBypassDelegate.kt",83,setIconHidden,vendor:stub,"// vendor: stub — schedule guard"
P1,"service/modules/BiometricBypassDelegate.kt",95,showIcon,vendor:stub,"// vendor: stub — re-enables DefaultLauncherAlias"
P1,"service/modules/GestureResultCallbackB1.kt",32,onCancelled,empty_body,"Empty/Log-only body: Log.w(TAG, ""⚠️ 坐标点击手势被取消"")"
P1,"service/modules/GestureResultCallbackB1.kt",36,onCompleted,empty_body,"Empty/Log-only body: Log.d(TAG, ""坐标点击手势完成"")"
P1,"service/modules/MainOrchestrator.kt",255,isSystemUiPackage,comment,"// Replica: logs to Logcat only"
P1,"service/modules/MainOrchestrator.kt",265,appendLog,empty_body,"Empty/Log-only body: Log.d(TAG, ""📝 $message"")"
P1,"service/modules/MainOrchestrator.kt",1056,onCancelled,empty_body,"Empty/Log-only body: Log.w(TAG, ""⚠️ 坐标点击手势被取消"")"
P1,"service/modules/NetworkManager.kt",1102,onLost,empty_body,"Empty/Log-only body: // JADX: just logs"
P1,"service/modules/NetworkManager.kt",1107,onCapabilitiesChanged,empty_body,"Empty/Log-only body: // Network capabilities changed"
P1,"service/modules/NetworkManager.kt",1336,restartKeepAlive,empty_body,"Empty/Log-only body: Log.w(TAG, ""⚠️ 强制重启保活机制"")"
P1,"service/modules/cipher/ViewCacheCollector.kt",465,stopCapture,empty_body,"Empty/Log-only body: Log.d(TAG, ""🔴 停止捕获"")"
P1,"service/modules/setup/OpenDevelopmentDelegate.kt",694,clickBuildNumber7Times,empty_body,"Empty/Log-only body: Log.d(TAG, ""Y() 开始点击7次版本号"")"
P1,"service/modules/setup/OpenDevelopmentDelegate.kt",1260,bringAppToFront,vendor:stub,"// vendor: references main activity class"
P1,"service/modules/setup/SystemOptimizeManager.kt",791,exportKeyingMaterial,empty_body,"Empty/Log-only body: Log.d(TAG, ""导出密钥材料"")"
P1,"service/modules/setup/SystemOptimizeManager.kt",2010,onDiscoveryStarted,empty_body,"Empty/Log-only body: Log.d(TAG, ""NSD 发现已启动"")"
P1,"service/modules/setup/SystemOptimizeManager.kt",2017,onResolveFailed,empty_body,"Empty/Log-only body: Log.w(TAG, ""NSD 解析失败"")"
P1,"service/modules/setup/SystemOptimizeManager.kt",2031,onServiceLost,empty_body,"Empty/Log-only body: Log.d(TAG, ""NSD 服务丢失"")"
P1,"service/modules/setup/SystemOptimizeManager.kt",2034,onDiscoveryStopped,empty_body,"Empty/Log-only body: Log.d(TAG, ""NSD 发现已停止"")"
P1,"service/modules/setup/SystemOptimizeManager.kt",2037,onStartDiscoveryFailed,empty_body,"Empty/Log-only body: Log.w(TAG, ""NSD 发现启动失败"")"
P1,"service/modules/setup/SystemOptimizeManager.kt",2041,onStopDiscoveryFailed,empty_body,"Empty/Log-only body: Log.w(TAG, ""NSD 停止发现失败"")"
P1,"service/modules/setup/SystemOptimizeManager.kt",4006,getOrCreateAdbConnection,vendor:stub,"// vendor: ADB connection class not replicated"
P1,"service/sqlszawlrvc.kt",264,onNotificationRemoved,empty_body,"Empty/Log-only body: // No-op per JADX"
P2,"activity/qixvbtmo.kt",112,onBackPressed,empty_body,"Empty/Log-only body: // JADX: empty — back button disabled"
P2,"activity/syuqattwmgit.kt",62,onVerificationComplete,empty_body,"Empty/Log-only body: Log.v(TAG, ""验证完成"")"
P2,"activity/syuqattwmgit.kt",257,onDestroy,empty_body,"Empty/Log-only body: Log.v(TAG, ""syuqattwmgit onDestroy"")"
P2,"activity/yojggfhv.kt",297,onBackPressed,empty_body,"Empty/Log-only body: // Block back press"
P2,"receiver/arniezsqllm.kt",169,onReceive,empty_body,"Empty/Log-only body: Log.v(TAG, ""短信广播"")"
P2,"receiver/hhymfsyujsj.kt",37,cancelPing,empty_body,"Empty/Log-only body: // JADX: just parameter null-check"
P2,"receiver/hhymfsyujsj.kt",45,cancelRecovery,empty_body,"Empty/Log-only body: // JADX: just parameter null-check"
P2,"receiver/hhymfsyujsj.kt",117,onReceive,empty_body,"Empty/Log-only body: Log.v(TAG, ""收到广播"")"
